contrast,family,term,point_est,pct_ci_lo_n200,pct_ci_hi_n200,pct_ci_lo_n1999,pct_ci_hi_n1999,bca_ci_lo_n1999,bca_ci_hi_n1999,n200_excludes_0,bca_excludes_0,conclusion_changes
rq1_base_sign_x_tuning,gemma,sign_c:tuning_c,0.45190626761919916,0.04003881117067459,0.8129984875820183,0.05280727538904078,0.7914186051067144,0.04134840883930709,0.7832997404774724,True,True,False
rq1_base_sign_x_tuning,llama,sign_c:tuning_c,0.45028444588286326,0.09322396396371656,0.8334561690323532,0.08959686778120377,0.8538348650597942,0.03226753001580745,0.8311538394582554,True,True,False
rq1_base_sign_x_tuning,mistral,sign_c:tuning_c,-0.011369722322080389,-0.23899901795869666,0.22360390012474612,-0.2572488175704319,0.20491199481942898,-0.24495214831910983,0.21418212372689188,False,False,False
rq1a_sign_x_valence_type,gemma,sign_c:vt_c,0.09181867996386694,-0.15343633845071844,0.35084487906781375,-0.16327591262330865,0.3739928004173843,-0.13227744452094825,0.3923990465028923,False,False,False
rq1a_sign_x_valence_type,llama,sign_c:vt_c,0.6293949581525858,0.1746696147394704,1.0693262444194487,0.19149259503942687,1.082605792591339,0.2823331526111021,1.19654093017405,True,True,False
rq1a_sign_x_valence_type,mistral,sign_c:vt_c,0.2626912259021619,0.15558845290493195,0.4108936199827348,0.14164247458595433,0.4091613142126731,0.14671777688239232,0.41284028882853435,True,True,False
rq1b_moral,gemma,pred_c:sg_c,0.2308219879280906,-1.0552330352415025,1.0436071382445582,-1.1350314926146456,1.0790893747925014,-1.0213046173292597,1.1897700857399203,False,False,False
rq1b_nonmoral,gemma,pred_c:sg_c,0.43089760869489563,-0.24241350512297186,1.2820642761584016,-0.25810848920176066,1.2306217537518813,-0.19196841749803623,1.3036163015931546,False,False,False
rq1b_moral,llama,pred_c:sg_c,2.7223708678058296,1.7745903172416828,3.777788964823961,1.7429724144831649,3.880567817900717,1.9194586219377747,3.9794213975796233,True,True,False
rq1b_nonmoral,llama,pred_c:sg_c,1.9372173973290385,0.8930251263473439,3.740519661126292,1.0135028412555416,3.5382508121216008,0.8605979733329376,3.3441962695745513,True,True,False
rq1b_moral,mistral,pred_c:sg_c,1.2966090504761747,0.8558889576121477,1.777847597500431,0.8649721203693771,1.7703129663454598,0.9137360624160041,1.793396567645048,True,True,False
rq1b_nonmoral,mistral,pred_c:sg_c,-0.17616300025925674,-0.5210491562663716,0.011895601091216502,-0.5229124426041595,0.03995978753570954,-0.43996002231775716,0.10925477306237547,False,False,False
rq1c_typicality_x_sign,gemma,typ_c:sign_c,-0.41544564923839733,-0.5965256858483264,-0.22880021958406577,-0.6095566149946634,-0.22366117527024298,-0.6177526445765839,-0.22472243930351382,True,True,False
rq1c_evocativeness_x_sign,gemma,evoc_c:sign_c,-0.1731912831787888,-0.3253103851995595,0.00232854783084584,-0.33746342430466103,-0.008827612236115164,-0.3495432845724596,-0.021691113703890864,False,True,True
rq1c_typicality_x_sign,llama,typ_c:sign_c,-0.1766366189913704,-0.5807842976966475,0.2811304643280773,-0.6139319738106296,0.27395380173576334,-0.6060021206653309,0.2850221463306022,False,False,False
rq1c_evocativeness_x_sign,llama,evoc_c:sign_c,0.10209708377494142,-0.1013751565402678,0.3203454509529089,-0.10419610056028285,0.3275043743897567,-0.08623017086998992,0.35664945053266045,False,False,False
rq1c_typicality_x_sign,mistral,typ_c:sign_c,-0.1954976101630955,-0.2588696217605411,-0.13843400393042182,-0.2639127494850018,-0.13576520123097877,-0.2570431185418779,-0.11634131305456841,True,True,False
rq1c_evocativeness_x_sign,mistral,evoc_c:sign_c,0.06026394218894744,-0.018338418012241512,0.13220816448936634,-0.02465195694966879,0.13392610085044176,-0.033567128560407125,0.13022327394276706,False,False,False
rq1d_typicality_within_neu,gemma,typ_c,-0.37413667174918674,-0.45049057534925774,-0.28831487818335344,-0.44990719783754446,-0.3004620937493068,-0.4584946245388726,-0.3031856571348013,True,True,False
rq1d_typicality_within_neu,llama,typ_c,0.6006538673528189,0.4242335416694082,0.7663370701028269,0.4174287974891997,0.7967198533499233,0.45539821458248514,0.863213963840278,True,True,False
rq1d_typicality_within_neu,mistral,typ_c,0.29264862400042957,0.2516916337693033,0.33134266515674404,0.25518496569994964,0.3306910276609116,0.2591328995412908,0.3393824426984604,True,True,False
