family,valence_type,term,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
gemma,moral,pred_c:sg_c,0.2308219879280906,0.5473394004341579,0.42171637515040783,0.6978489244622311,42,1999
gemma,nonmoral,pred_c:sg_c,0.43089760869489563,0.36267533010626357,1.1881084069562795,0.3366683341670835,42,1999
llama,moral,pred_c:sg_c,2.7223708678058296,0.5090481297927574,5.347963598086797,0.0,42,1999
llama,nonmoral,pred_c:sg_c,1.9372173973290385,0.5766374705946694,3.359506615709941,0.0005002501250625312,42,1999
mistral,moral,pred_c:sg_c,1.2966090504761747,0.22880133895579163,5.666964434708583,0.0,42,1999
mistral,nonmoral,pred_c:sg_c,-0.17616300025925674,0.13979462407874432,-1.2601557564905117,0.2546273136568284,42,1999
