family,sign,slope_pretrained,shift_under_instruct,shift_p,n_obs
gemma,bad,0.5002584168800666,-0.7647937419234296,0.00039421446431758334,336
gemma,good,0.6855090086464735,-0.44599324414990693,0.06536649901693829,336
llama,bad,0.9440535511853081,-1.0232739405466658,0.03570305454893959,336
llama,good,0.9773971420001404,-0.7814541716970014,0.07857389759158918,336
mistral,bad,0.3559019504153481,-0.3377044821173039,0.0002024087705210142,336
mistral,good,0.3406530889519254,-0.20534990475228007,0.08604744605109838,336
