contrast,family,term,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
rq1_base_sign_x_tuning,gemma,sign_c:tuning_c,0.4519062676191749,5.272154452019633e-203,0.45190626761919916,0.18143704294067062,2.4907056480576086,0.009004502251125562,84,1999
rq1_base_sign_x_tuning,llama,sign_c:tuning_c,0.450284445882844,3.9793534504566363e-84,0.45028444588286326,0.20259694070798118,2.2225629089429018,0.022511255627813906,84,1999
rq1_base_sign_x_tuning,mistral,sign_c:tuning_c,-0.01136972232207579,0.20368188742832172,-0.011369722322080389,0.11249956495183622,-0.10106458924483878,0.9184592296148074,84,1999
rq1c_typicality_x_sign,gemma,typ_c:sign_c,-0.4154456492384064,2.825640443839372e-193,-0.41544564923839733,0.10686973250459735,-3.8874023495897267,0.0,84,1999
rq1c_evocativeness_x_sign,gemma,evoc_c:sign_c,-0.17319128317878962,5.47025580024695e-32,-0.1731912831787888,0.07977866126573521,-2.170897335590841,0.030015007503751877,84,1999
rq1c_typicality_x_sign,llama,typ_c:sign_c,-0.1766366189913658,1.489177166120698e-12,-0.1766366189913704,0.20852359697317968,-0.8470821602702806,0.4032016008004002,84,1999
rq1c_evocativeness_x_sign,llama,evoc_c:sign_c,0.10209708377494857,0.004434681207839217,0.10209708377494142,0.11241422186660247,0.9082221277668586,0.3741870935467734,84,1999
rq1c_typicality_x_sign,mistral,typ_c:sign_c,-0.19549761016309722,8.314403766465719e-231,-0.1954976101630955,0.03424495908284434,-5.708799642310968,0.0,84,1999
rq1c_evocativeness_x_sign,mistral,evoc_c:sign_c,0.06026394218895103,3.097610981558986e-15,0.06026394218894744,0.04222860602995754,1.4270881247227387,0.1695847923961981,84,1999
