model,family,beta_obs,se_obs,n_groups,mde,observed_ge_mde,sets_needed_for_80pct_power,additional_sets_needed
baseline,gemma,0.0918186799638669,0.1342986322884566,21,0.3967147492229873,False,355,334
baseline,llama,0.6293949581525858,0.2447072664060638,21,0.7228590505434999,False,27,6
baseline,mistral,0.2626912259021619,0.0675884818216736,21,0.19965465886991293,True,22,1
+severity_c (set-FE corrected),gemma,0.2848102781998225,0.4520967917556453,21,1.33548244170223,False,418,397
+severity_c (set-FE corrected),llama,1.6457470749805665,1.055311680030509,21,3.117363902829394,False,70,49
+severity_c (set-FE corrected),mistral,-0.061831673113324,0.1057208804136005,21,0.3122967959258951,False,484,463
