contrast,family,term,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
rq1d_neu_offset,gemma,Intercept,1.5468585341995715,2.2655904550146616e-123,1.5468585341996817,0.06709657366417511,23.05421051664813,0.0,21,1999
rq1d_typicality_within_neu,gemma,typ_c,-0.3741366717491864,0.0,-0.37413667174918674,0.03927038154471534,-9.527197267568559,0.0,21,1999
rq1d_neu_offset,llama,Intercept,2.6451348321034933,0.0,2.6451348321035857,0.0664877634714192,39.783784173168016,0.0,21,1999
rq1d_typicality_within_neu,llama,typ_c,0.6006538673528222,0.0,0.6006538673528189,0.10086982978104139,5.95474254944874,0.0,21,1999
rq1d_neu_offset,mistral,Intercept,1.8204348585847472,0.0,1.8204348585847487,0.026553810267364593,68.55644595842112,0.0,21,1999
rq1d_typicality_within_neu,mistral,typ_c,0.29264862400043223,0.0,0.29264862400042957,0.019959560717176788,14.662077394748582,0.0,21,1999
