contrast,family,term,n,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
rq1_base_sign_pretrained_moral_parsed_rating,gemma,sign_c,2374,0.5392584263685144,0.000828986422714103,0.5389590705962145,0.1658574577036806,3.249531724760389,0.0010005002501250625,42,1999
rq1_base_sign_pretrained_moral_parsed_rating,llama,sign_c,871,0.015589667591719071,0.9555775642970478,0.011278433357587991,0.28964973740956396,0.03893817912094399,0.9704852426213106,42,1999
rq1_base_sign_pretrained_moral_parsed_rating,mistral,sign_c,1271,0.33451175647768466,0.11213011854325833,0.32983149573538845,0.21342564302218126,1.5454164319941122,0.11955977988994497,42,1999
