contrast,family,beta_obs,se_obs,n_groups,mde,observed_effect_ge_mde
rq1_base_sign_x_tuning,gemma,0.4519062676191991,0.1814370429406706,84,0.514436649795416,False
rq1_base_sign_x_tuning,llama,0.4502844458828632,0.2025969407079811,84,0.5744322644780706,False
rq1_base_sign_x_tuning,mistral,-0.0113697223220803,0.1124995649518362,84,0.3189751021029869,False
rq1c_typicality_x_sign,gemma,-0.4154456492383973,0.1068697325045973,84,0.3030125836661418,True
rq1c_evocativeness_x_sign,gemma,-0.1731912831787888,0.0797786612657352,84,0.22620004471814753,False
rq1c_typicality_x_sign,llama,-0.1766366189913704,0.2085235969731796,84,0.591236380904035,False
rq1c_evocativeness_x_sign,llama,0.1020970837749414,0.1124142218666024,84,0.3187331249954497,False
rq1c_typicality_x_sign,mistral,-0.1954976101630955,0.0342449590828443,84,0.09709628054685718,True
rq1c_evocativeness_x_sign,mistral,0.0602639421889474,0.0422286060299575,84,0.11973267564047275,False
rq1d_neu_offset,gemma,1.5468585341996817,0.0670965736641751,21,0.1982015746648288,True
rq1d_typicality_within_neu,gemma,-0.3741366717491867,0.0392703815447153,21,0.11600370979907468,True
rq1d_neu_offset,llama,2.6451348321035857,0.0664877634714192,21,0.19640316481635922,True
rq1d_typicality_within_neu,llama,0.6006538673528189,0.1008698297810413,21,0.2979669155513117,True
rq1d_neu_offset,mistral,1.8204348585847487,0.0265538102673645,21,0.07843928118721243,True
rq1d_typicality_within_neu,mistral,0.2926486240004295,0.0199595607171767,21,0.05896003547905337,True
rq1a_sign_x_valence_type,gemma,0.0918186799638669,0.1342986322884566,21,0.3967147492229873,False
rq1a_sign_x_valence_type,llama,0.6293949581525858,0.2447072664060638,21,0.7228590505434999,False
rq1a_sign_x_valence_type,mistral,0.2626912259021619,0.0675884818216736,21,0.19965465886991293,True
rq1b_moral,gemma,0.2308219879280906,0.5473394004341579,42,1.5718357085398749,False
rq1b_nonmoral,gemma,0.4308976086948956,0.3626753301062635,42,1.041522013608607,False
rq1b_moral,llama,2.7223708678058296,0.5090481297927574,42,1.461871787667787,True
rq1b_nonmoral,llama,1.9372173973290383,0.5766374705946694,42,1.655973179427353,True
rq1b_moral,mistral,1.2966090504761747,0.2288013389557916,42,0.6570660077589489,True
rq1b_nonmoral,mistral,-0.1761630002592567,0.1397946240787443,42,0.40145873257905795,False
