contrast,family,tuning_status,term,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
rq1_base_sign_by_tuning,gemma,pretrained,sign_c,-0.1297196993272287,0.00019677488573926653,-0.12971969932682306,0.03506764258567939,-3.699128021220247,0.0,84,1999
rq1_base_sign_by_tuning,gemma,finetuned,sign_c,0.32218656829187997,0.09136568272160274,0.32218656829235826,0.1920981929998294,1.67719728780918,0.10455227613806903,84,1999
rq1_base_sign_by_tuning,llama,pretrained,sign_c,-0.10737487452976598,0.021239638629439825,-0.10737487452979039,0.046884217837632636,-2.290213625865453,0.02351175587793897,84,1999
rq1_base_sign_by_tuning,llama,finetuned,sign_c,0.34290957135315375,0.09528640503873896,0.3429095713530569,0.20680033701508269,1.6581673719808652,0.11505752876438219,84,1999
rq1_base_sign_by_tuning,mistral,pretrained,sign_c,-0.0580185724798121,0.0354120439144169,-0.05801857247988096,0.02777032331226262,-2.089229276429113,0.04202101050525263,84,1999
rq1_base_sign_by_tuning,mistral,finetuned,sign_c,-0.06938829480175951,0.4948325264751058,-0.06938829480195302,0.10230672594810993,-0.6782378593284946,0.5182591295647824,84,1999
