contrast,family,term,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
rq1_base_sign_pretrained_moral_only,gemma,sign_c,-0.1724083156553458,1.8815706849688133e-06,-0.17240831565553127,0.036627105109096836,-4.707123730963694,0.0,42,1999
rq1_base_sign_pretrained_moral_only,llama,sign_c,-0.07409472537480084,0.17698491863357857,-0.07409472537479145,0.05555164815560878,-1.333798867087447,0.1965982991495748,42,1999
rq1_base_sign_pretrained_moral_only,mistral,sign_c,-0.05436442624232811,0.2308015692964408,-0.054364426242420105,0.045938982693077515,-1.183405096400017,0.2576288144072036,42,1999
