family,term,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
gemma,sign_c:vt_c,0.2848102781998225,0.4520967917556453,0.6299763311608727,0.655327663831916,21,1999
llama,sign_c:vt_c,1.6457470749805665,1.055311680030509,1.5594891121957337,0.22161080540270134,21,1999
mistral,sign_c:vt_c,-0.06183167311332403,0.1057208804136005,-0.5848577203616407,0.5637818909454727,21,1999
