family,n_parsed_only,p_wcb_ev_rating_all_rows,p_wcb_parsed_only,beta_ev,beta_parsed,disagrees
gemma,4932,0.0,0.0,-0.41544564923839733,-0.9381020733582102,False
llama,7148,0.4032016008004002,0.5242621310655328,-0.1766366189913704,-0.23445840310147162,False
mistral,8250,0.0,0.0,-0.1954976101630955,-0.458589160523152,False
