family,valence_type,re_mixedlm,pooled_ols,family_fe,corr_pred_c_family_mean
gemma,moral,0.22229709378725512,-0.5889787149977708,0.2308219879280906,0.9554037219539544
gemma,nonmoral,0.4433356998837778,0.5997411169293523,0.43089760869489563,0.9041103807977683
llama,moral,2.6832156637182987,1.2083088385175635,2.7223708678058296,0.9058042476873024
llama,nonmoral,1.9467061349864352,2.1927028255228675,1.9372173973290385,0.9036930348974972
mistral,moral,1.3013446022437043,2.0977618741067245,1.2966090504761747,0.9532840542976841
mistral,nonmoral,-0.16449914006501656,0.6269475716991271,-0.17616300025925674,0.7743338812519364
