family,valence_type,naive_beta,naive_p,mean_mev_c,beta_lambda0,beta_lambda2,simex_beta,attenuation_pct,secs
gemma,moral,0.2308219879280906,5.058563201391189e-06,4.599458375655515e-08,0.23082198792809058,0.2308161051635648,0.230845000150305,0.009969683746754493,11.601967096328735
gemma,nonmoral,0.43089760869489563,1.45340932802886e-16,1.9043389987360607e-08,0.4308976086948955,0.4309018492181128,0.4309002495079685,0.0006128632463019465,11.863337993621826
llama,moral,2.7223708678058296,2.8270251873317555e-58,7.386156520195085e-08,2.722370867805829,2.722389735064036,2.7223541890504364,-0.0006126555198808331,11.838319063186646
llama,nonmoral,1.9372173973290385,1.2208402075390101e-108,2.1755300053032443e-08,1.9372173973290392,1.9372489295339783,1.9371933831386297,-0.0012396228963244824,11.557451963424683
mistral,moral,1.2966090504761747,1.0390972658583102e-125,1.5473601003253747e-08,1.2966090504761747,1.296606662601153,1.2966180518276733,0.0006942224794212843,11.589473009109497
mistral,nonmoral,-0.17616300025925674,2.4239205314348425e-13,2.7354423031446784e-08,-0.17616300025925674,-0.17615345476648564,-0.1761629937863514,-3.6743841448438756e-06,11.694324970245361
