label,term,n,secs,mean,sd,hdi_3,hdi_97,r_hat,ess_bulk,excludes_0
mistral_rq1_base_sign_x_tuning,sign_c:tuning_c,16800,303.1177861690521,1.387,0.081,1.236,1.539,1.0,4647.0,True
llama_rq1c_typicality_x_sign,typ_c:sign_c,8400,918.1475839614868,1.302,0.14,1.037,1.561,1.0,9254.0,True
