family,high,low,gap_high_minus_low
gemma,5.340749483497784,5.49101495295379,-0.1502654694560066
llama,2.9074245919192636,3.1156457291969764,-0.20822113727771274
mistral,4.935736394502702,5.045518503786602,-0.1097821092839002
