subdomain,family,term,n,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
aesthetic,gemma,sign_c,2400,0.3231278224732964,0.5040725678329311,0.32312782247191085,0.49421841900379354,0.6538158232209281,0.535767883941971,24,1999
aesthetic,llama,sign_c,2400,0.04007934493851821,0.9227786933717635,0.04007934493846943,0.4223615736500135,0.0948934454242773,0.9154577288644322,24,1999
aesthetic,mistral,sign_c,2400,-0.2942603052885782,0.051045706397795536,-0.2942603052890264,0.15398662502778368,-1.9109471698333103,0.06603301650825413,24,1999
procedural,gemma,sign_c,1600,0.21976514475701162,0.5338819887182592,0.21976514475502862,0.3651485529979176,0.6018513368072471,0.7063531765882941,16,1999
procedural,llama,sign_c,1600,0.009936416580050476,0.9649585250788258,0.009936416580203389,0.23359775566202043,0.04253643855457172,0.9729864932466233,16,1999
procedural,mistral,sign_c,1600,-0.07689554769934855,0.2526130460114102,-0.07689554769931017,0.06943971534839344,-1.1073712977293941,0.29064532266133064,16,1999
