family,valence_type,term,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
gemma,moral,sign_c,0.36809590827492095,0.013277064016552785,0.36809590827428684,0.1504907035977421,2.44597107644734,0.021010505252626314,42,1999
gemma,nonmoral,sign_c,0.27627722831004686,0.39757133918776766,0.276277228310414,0.33059457486836646,0.8356980099277791,0.43571785892946474,42,1999
llama,moral,sign_c,0.6576070504292418,0.0028018116744562044,0.657607050429355,0.22270715594142237,2.952788147509379,0.0005002501250625312,42,1999
llama,nonmoral,sign_c,0.028212092276570545,0.9238919611688832,0.028212092276739875,0.29889216274826846,0.09438886592854738,0.9179589794897449,42,1999
mistral,moral,sign_c,0.06195731814928439,0.3660423074003617,0.06195731814912159,0.06938089912478643,0.8930025256329843,0.407703851925963,42,1999
mistral,nonmoral,sign_c,-0.20073390775275382,0.052389206724465474,-0.20073390775304503,0.10473919595119693,-1.9165118266382022,0.05952976488244122,42,1999
