model,family,term,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B,severity_coef,severity_p
baseline,gemma,sign_c:vt_c,0.06511691184449919,0.02483785967809802,0.06939282963446297,0.14023317310682312,0.4948389036423125,0.6398199099549775,21,1999,,
+severity_c,gemma,sign_c:vt_c,0.27992410334646295,5.702593022218622e-07,-0.9757075873083697,0.8363999752345045,-1.1665562125761746,0.31615807903951976,21,1999,-0.04842146672730718,7.262465872455659e-06
baseline,llama,sign_c:vt_c,0.6494530121774663,6.900278244084134e-44,0.6514823459277547,0.2585951091550216,2.519314259486658,0.004502251125562781,21,1999,,
+severity_c,llama,sign_c:vt_c,1.6399842660842845,2.291959190275553e-75,1.1927674508444386,1.103371444265319,1.081020772328075,0.4592296148074037,21,1999,-0.22328698801993307,1.722865792893909e-38
baseline,mistral,sign_c:vt_c,0.2496554193866343,4.0935401203571133e-84,0.2545401127140697,0.06927131608801342,3.6745384249760895,0.0010005002501250625,21,1999,,
+severity_c,mistral,sign_c:vt_c,-0.06356934821139701,0.009374550827167316,-0.2216512679103505,0.16556755550209803,-1.3387361263997268,0.2031015507753877,21,1999,0.07060847888150902,1.190870891110935e-50
