family,term,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
gemma,typ_c,0.08273842614253504,0.05343486625230302,1.5483977400049924,0.12556278139069535,84,1999
gemma,typ_c:sign_c,-0.41544564923839733,0.10686973250459735,-3.8874023495897267,0.0005002501250625312,84,1999
llama,typ_c,1.1824846489040013,0.1042617984865984,11.34149483385322,0.0,84,1999
llama,typ_c:sign_c,-0.1766366189913704,0.20852359697317968,-0.8470821602702806,0.40370185092546274,84,1999
mistral,typ_c,0.2163223783928337,0.01712247954142353,12.633823148656486,0.0,84,1999
mistral,typ_c:sign_c,-0.1954976101630955,0.03424495908284434,-5.708799642310968,0.0,84,1999
