model_key,parse_rate,n_parsed,corr_ev_vs_parsed,mean_abs_diff
mistral-7b-v0.1-instruct,0.9821904761904762,10313,0.4381700541094737,1.4504524618142804
llama-3.1-8b-instruct,0.8445714285714285,8868,0.5022945653590151,2.932969690465889
gemma-2-9b-instruct,0.6050476190476191,6353,0.4556437250806583,2.60773572524022
gemma-2-9b-pretrained,0.5811428571428572,6102,0.05100903814949893,3.1200725304206567
mistral-7b-v0.1-pretrained,0.34676190476190477,3641,0.049667759480360965,3.0346639833876767
llama-3.1-8b-pretrained,0.234,2457,0.06880782892894914,2.802067499124803
