model,family,term,lmm_estimate,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B,severity_coef,severity_p
baseline,gemma,typ_c:sign_c,-0.4133339484881712,3.236392418169357e-189,-0.4133339484881643,0.10816426682506634,-3.8213539519169277,0.0005002501250625312,83,1999,,
+severity_c,gemma,typ_c:sign_c,-0.41333394848817134,3.248168095596996e-189,-0.41333394848816185,0.10817078647588574,-3.8211236319364787,0.0005002501250625312,83,1999,0.1469365744508137,0.0006084056658494757
baseline,llama,typ_c:sign_c,-0.18650930521870468,1.4688892494569194e-13,-0.18650930521870163,0.2105027642590318,-0.8860183184539786,0.3996998499249625,83,1999,,
+severity_c,llama,typ_c:sign_c,-0.1865093052187049,1.4689593170997228e-13,-0.18650930521870118,0.21051545240974742,-0.8859649165120637,0.3996998499249625,83,1999,0.16411749351249566,0.0003360859243070614
baseline,mistral,typ_c:sign_c,-0.1935962729738997,7.092889476768591e-223,-0.19359627297389742,0.034510821705096235,-5.609726555578042,0.0,83,1999,,
+severity_c,mistral,typ_c:sign_c,-0.19359627297389967,7.110787736617147e-223,-0.19359627297389703,0.03451290186071153,-5.609388447115232,0.0,83,1999,0.16365182581101378,3.4306614802643317e-23
