pilot,family,arm,n,slope_pretrained,slope_finetuned,lmm_interaction,lmm_p,beta_obs,se_obs,t_obs,p_wcb,n_groups,B
nonmoral_pilot,gemma,moral,1762,-0.1243,2.1776,2.3019,3.756330716697848e-08,2.3182714417266506,0.5152929398221788,4.498938880332141,0.0005002501250625312,39,1999
nonmoral_pilot,gemma,nonmoral_pooled,4697,-0.2432,2.7283,2.9715,7.424853226592046e-40,2.953949877399878,0.24009821858121078,12.303089522510282,0.0,40,1999
nonmoral_pilot,llama,moral,1604,0.0563,0.0164,-0.04,0.9303967317368362,-0.0804837261127071,0.5985463647552881,-0.13446531605886933,0.8959479739869936,39,1999
nonmoral_pilot,llama,nonmoral_pooled,4414,-0.8793,-0.0886,0.7906,0.0015456357519102232,0.7943364659905471,0.26347682806597694,3.014824763988878,0.002001000500250125,40,1999
nonmoral_pilot,mistral,moral,2004,0.4941,1.1903,0.6963,0.011651365747439742,0.6957829636833689,0.4928094438972272,1.4118701910032203,0.17508754377188596,39,1999
nonmoral_pilot,mistral,nonmoral_pooled,5418,0.077,0.8158,0.7388,1.944473307995669e-06,0.7440915348013644,0.23927995263717133,3.1097111421183565,0.005502751375687844,40,1999
moral_foundations_pilot,gemma,harm_control,1909,-0.2514,4.148,4.3994,3.445215857940639e-35,4.399975421401724,0.4670208470544156,9.421368337523173,0.0,30,1999
moral_foundations_pilot,gemma,nonharm_pooled,2064,0.0307,4.4274,4.3967,2.3116904226699462e-36,4.406048522132746,0.5530100241051923,7.967393591575544,0.0,26,1999
moral_foundations_pilot,llama,harm_control,1851,-0.3307,0.6624,0.993,0.011106059412684026,1.01184863009247,0.44252886198743063,2.286514433314431,0.030515257628814407,30,1999
moral_foundations_pilot,llama,nonharm_pooled,2093,0.0082,0.2875,0.2793,0.44318926555392546,0.27838258347467226,0.38165700232159067,0.7294051511731531,0.4852426213106553,26,1999
moral_foundations_pilot,mistral,harm_control,2312,-0.1702,1.7502,1.9204,1.2247136940959889e-14,1.914723008578419,0.4705289329394059,4.069299196155903,0.0015007503751875938,30,1999
moral_foundations_pilot,mistral,nonharm_pooled,2514,0.6606,1.0023,0.3417,0.12843868966669078,0.3440592949833526,0.4633615985128495,0.7425287207390611,0.45372686343171587,26,1999
