model_key,question,n_rows,n_parse_ok,parse_rate,r_ev_vs_parsed
gemma-2-9b-instruct,q_intentionality,3150,1705,0.5413,0.5234
gemma-2-9b-pretrained,q_intentionality,3150,2268,0.72,0.0891
llama-3.1-8b-instruct,q_intentionality,3150,2310,0.7333,0.1302
llama-3.1-8b-pretrained,q_intentionality,3150,1634,0.5187,0.094
mistral-7b-v0.1-instruct,q_intentionality,3150,3121,0.9908,0.5303
mistral-7b-v0.1-pretrained,q_intentionality,3150,1705,0.5413,0.0588
