family,tuning,n,f_obs,df_num,p_classical,p_wcb,n_groups,B
gemma,pretrained,2268,1.791538658519627,4,0.15406423603245664,0.29464732366183094,34,1999
gemma,finetuned,1705,6.744819775901267,4,0.0004404207686272851,0.04252126063031516,34,1999
llama,pretrained,1634,2.015801718012638,4,0.11504531645832317,0.23311655827913957,34,1999
llama,finetuned,2310,1.2112570095153095,4,0.32465827217874826,0.47573786893446723,34,1999
mistral,pretrained,1705,7.050086651366579,4,0.0003226193827928217,0.01150575287643822,34,1999
mistral,finetuned,3121,2.2237280027800463,4,0.08776868715924498,0.2176088044022011,34,1999
